;COR;SALV;COUSO;GROVE;ONS;CIESN;CIESS;SIL;VP;ESPO;FIG;BER;ERI;AVE;SES;SIN
COR;0;0.00833;0.00592;0.00397;0.00515;0.01492;0.00822;0.01082;0.00805;0.00545;0.00916;0.00705;0.00771;0.00824;0.0047;0.01783
SALV;0.00833;0;0.00401;0.00947;0.00951;0.00793;0.00531;0.00644;0.00409;0.00378;0.00532;0.00697;0.01154;0.00785;0.01084;0.01029
COUSO;0.00592;0.00401;0;0.00657;0.0026;0.01036;0.00588;0.00893;0.00681;0.00379;0.00473;0.00972;0.004;0.00695;0.0067;0.0101
GROVE;0.00397;0.00947;0.00657;0;0.00706;0.00947;0.00796;0.00467;0.01029;0.01084;0.00802;0.00839;0.00719;0.01011;0.01314;0.0144
ONS;0.00515;0.00951;0.0026;0.00706;0;0.00518;0.00832;0.00836;0.00797;0.00737;0.00643;0.00985;0.00798;0.00898;0.00495;0.01092
CIESN;0.01492;0.00793;0.01036;0.00947;0.00518;0;0.00949;0.01271;0.00804;0.00532;0.00607;0.01131;0.00513;0.00928;0.01077;0.01084
CIESS;0.00822;0.00531;0.00588;0.00796;0.00832;0.00949;0;0.00789;0.00702;0.00931;0.00607;0.00776;0.00979;0.00589;0.01211;0.01369
SIL;0.01082;0.00644;0.00893;0.00467;0.00836;0.01271;0.00789;0;0.01328;0.01036;0.01489;0.02063;0.00906;0.00856;0.01211;0.01333
VP;0.00805;0.00409;0.00681;0.01029;0.00797;0.00804;0.00702;0.01328;0;0.01068;0.00517;0.00798;0.00621;0.01196;0.0078;0.00293
ESPO;0.00545;0.00378;0.00379;0.01084;0.00737;0.00532;0.00931;0.01036;0.01068;0;0.00691;0.00599;0.00477;0.00521;0.01292;0.0156
FIG;0.00916;0.00532;0.00473;0.00802;0.00643;0.00607;0.00607;0.01489;0.00517;0.00691;0;0.0068;0.00946;0.00808;0.00872;0.01153
BER;0.00705;0.00697;0.00972;0.00839;0.00985;0.01131;0.00776;0.02063;0.00798;0.00599;0.0068;0;0.01163;0.00607;0.00666;0.00962
ERI;0.00771;0.01154;0.004;0.00719;0.00798;0.00513;0.00979;0.00906;0.00621;0.00477;0.00946;0.01163;0;0.00932;0.01435;0.01154
AVE;0.00824;0.00785;0.00695;0.01011;0.00898;0.00928;0.00589;0.00856;0.01196;0.00521;0.00808;0.00607;0.00932;0;0.01074;0.00589
SES;0.0047;0.01084;0.0067;0.01314;0.00495;0.01077;0.01211;0.01211;0.0078;0.01292;0.00872;0.00666;0.01435;0.01074;0;0.00519
SIN;0.01783;0.01029;0.0101;0.0144;0.01092;0.01084;0.01369;0.01333;0.00293;0.0156;0.01153;0.00962;0.01154;0.00589;0.00519;0
