,COR,SALV,COUSO,GROVE,ONS,CIESN,CIESS,SIL,VP,ESPO,FIG,BER,ERI,AVE,SES,SIN
COR,0,12.28452595,34.67753664,17.44513275,24.74980405,40.74240222,45.51244533,54.04941585,99.68445021,114.096358,267.4629412,354.1450352,400.1178266,433.562228,463.2520623,523.7446531
SALV,12.28452595,0,22.40410817,6.449466445,12.55122347,28.56974773,33.40796117,42.11793553,88.05680241,102.3976683,256.4446932,344.1535596,389.8977167,423.2132084,452.5533642,512.7564579
COUSO,34.67753664,22.40410817,0,18.13982413,10.03499857,8.204216037,12.99362959,22.08832565,68.01962284,82.0218656,237.28008,327.0972365,372.3052735,405.3198647,433.9007433,493.4593354
GROVE,17.44513275,6.449466445,18.13982413,0,8.21274335,25.35949674,30.33839217,39.37042402,85.55029392,99.72839088,254.5207928,343.2347581,388.7528723,421.9367667,450.9190788,510.79756
ONS,24.74980405,12.55122347,10.03499857,8.21274335,0,17.16978769,22.15379696,31.21838339,77.39319558,91.54282722,246.4521534,335.5082713,380.9274392,414.058619,442.9192481,502.7091292
CIESN,40.74240222,28.56974773,8.204216037,25.35949674,17.16978769,0,4.985325679,14.08824128,60.23429133,74.37343618,229.3738326,318.9409033,364.1927459,397.2391248,425.9222146,485.6028286
CIESS,45.51244533,33.40796117,12.99362959,30.33839217,22.15379696,4.985325679,0,9.124654661,55.24951813,69.39113474,224.4051934,314.1086847,359.3129378,392.3358381,420.9723757,480.6270005
SIL,54.04941585,42.11793553,22.08832565,39.37042402,31.21838339,14.08824128,9.124654661,0,46.18009591,60.38783048,215.2858454,305.0685988,350.2273367,383.2319299,411.8477935,471.5159508
VP,99.68445021,88.05680241,68.01962284,85.55029392,77.39319558,60.23429133,55.24951813,46.18009591,0,14.49805545,169.3210043,260.6931177,305.2603138,337.9824234,366.0698521,425.4449696
ESPO,114.096358,102.3976683,82.0218656,99.72839088,91.54282722,74.37343618,69.39113474,60.38783048,14.49805545,0,155.7204786,248.320406,292.4490534,324.9492243,352.5904769,411.6256426
FIG,267.4629412,256.4446932,237.28008,254.5207928,246.4521534,229.3738326,224.4051934,215.2858454,169.3210043,155.7204786,0,100.1133393,139.4743166,170.5312735,196.9017478,256.3117949
BER,354.1450352,344.1535596,327.0972365,343.2347581,335.5082713,318.9409033,314.1086847,305.0685988,260.6931177,248.320406,100.1133393,0,47.44323903,81.74353068,116.8770911,181.8308594
ERI,400.1178266,389.8977167,372.3052735,388.7528723,380.9274392,364.1927459,359.3129378,350.2273367,305.2603138,292.4490534,139.4743166,47.44323903,0,34.30031029,70.39929237,135.4989288
AVE,433.562228,423.2132084,405.3198647,421.9367667,414.058619,397.2391248,392.3358381,383.2319299,337.9824234,324.9492243,170.5312735,81.74353068,34.30031029,0,38.32325525,102.6517798
SES,463.2520623,452.5533642,433.9007433,450.9190788,442.9192481,425.9222146,420.9723757,411.8477935,366.0698521,352.5904769,196.9017478,116.8770911,70.39929237,38.32325525,0,65.10616453
SIN,523.7446531,512.7564579,493.4593354,510.79756,502.7091292,485.6028286,480.6270005,471.5159508,425.4449696,411.6256426,256.3117949,181.8308594,135.4989288,102.6517798,65.10616453,0
