;COR;SALV;COUSO;GROVE;ONS;CIESN;CIESS;SIL;VP;ESPO;FIG;BER;ERI;AVE;SES;SIN
COR;0.000;0.104;0.104;0.092;0.100;0.117;0.116;0.127;0.117;0.088;0.111;0.132;0.115;0.110;0.112;0.133
SALV;0.104;0.000;0.113;0.097;0.106;0.111;0.109;0.116;0.113;0.089;0.107;0.131;0.119;0.108;0.108;0.136
COUSO;0.104;0.113;0.000;0.101;0.090;0.106;0.107;0.119;0.116;0.090;0.103;0.141;0.112;0.108;0.111;0.150
GROVE;0.092;0.097;0.101;0.000;0.096;0.118;0.139;0.118;0.103;0.101;0.103;0.136;0.108;0.112;0.107;0.145
ONS;0.100;0.106;0.090;0.096;0.000;0.095;0.106;0.121;0.116;0.094;0.099;0.129;0.104;0.108;0.115;0.146
CIESN;0.117;0.111;0.106;0.118;0.095;0.000;0.110;0.126;0.129;0.115;0.106;0.126;0.120;0.127;0.121;0.148
CIESS;0.116;0.109;0.107;0.139;0.106;0.110;0.000;0.133;0.127;0.103;0.110;0.133;0.119;0.124;0.128;0.139
SIL;0.127;0.116;0.119;0.118;0.121;0.126;0.133;0.000;0.135;0.115;0.138;0.165;0.131;0.140;0.138;0.189
VP;0.117;0.113;0.116;0.103;0.116;0.129;0.127;0.135;0.000;0.120;0.117;0.139;0.112;0.134;0.128;0.163
ESPO;0.088;0.089;0.090;0.101;0.094;0.115;0.103;0.115;0.120;0.000;0.101;0.135;0.104;0.101;0.120;0.149
FIG;0.111;0.107;0.103;0.103;0.099;0.106;0.110;0.138;0.117;0.101;0.000;0.130;0.112;0.116;0.119;0.150
BER;0.132;0.131;0.141;0.136;0.129;0.126;0.133;0.165;0.139;0.135;0.130;0.000;0.121;0.139;0.145;0.165
ERI;0.115;0.119;0.112;0.108;0.104;0.120;0.119;0.131;0.112;0.104;0.112;0.121;0.000;0.125;0.122;0.143
AVE;0.110;0.108;0.108;0.112;0.108;0.127;0.124;0.140;0.134;0.101;0.116;0.139;0.125;0.000;0.124;0.131
SES;0.112;0.108;0.111;0.107;0.115;0.121;0.128;0.138;0.128;0.120;0.119;0.145;0.122;0.124;0.000;0.144
SIN;0.133;0.136;0.150;0.145;0.146;0.148;0.139;0.189;0.163;0.149;0.150;0.165;0.143;0.131;0.144;0.000
