"","Site1","Site2","rxy","wang","lynchli","lxy","SPDistance","GDistance","NDistance","F1Distance"
"1","AVE","AVE",0.00246491446421211,-0.00263797067027406,-0.00163347913117933,0.0024660508486116,0,0,0,0
"2","AVE","BER",-0.0130785843405219,-0.011473377819168,-0.0194629329732965,-0.00186231673476779,86.87749059,81.74353068,0.139,0.00610706991438029
"3","AVE","CIESN",-0.00716124290615652,-0.00735249677483175,-0.00985865554949314,-0.00303171796896057,432.1654782,397.2391248,0.127,0.00936692506459948
"4","AVE","CIESS",-0.00270097211745625,-0.00378170514840515,-0.00256331501102192,-0.00226886322907485,428.6041424,392.3358381,0.124,0.00592489764714166
"5","AVE","COR",-0.00421956326111518,-0.00570021589810435,-0.00364928838837644,-0.00289808691598456,460.3267746,433.562228,0.11,0.00830846172461079
"6","AVE","COUSO",-0.00434670632708317,-0.00637398057209701,-0.00705109447028421,-0.000930747368398973,439.2881763,405.3198647,0.108,0.00699864055183525
"7","AVE","ERI",-0.00990861460810114,-0.00420651277218186,-0.0102409284696963,-0.00206229113358951,44.3253858,34.30031029,0.125,0.0094076795736262
"8","AVE","ESPO",0.000943083900153917,-0.00131640201865677,0.0013190142157373,-0.000731897026330128,361.1973532,324.9492243,0.101,0.00523728626142201
"9","AVE","FIG",-0.00251989622659688,-0.00446751696096192,0.000500132941944796,-0.00399838100137706,204.2569431,170.5312735,0.116,0.00814581821114606
"10","AVE","GROVE",-0.00546609152049218,-0.00868255896496775,-0.00993741554751374,-0.00283588662471558,457.0950764,421.9367667,0.112,0.0102132560183455
"11","AVE","ONS",-0.00478393509652873,-0.00602927197617278,-0.00627748944509277,-0.00337130911252752,449.9722897,414.058619,0.108,0.00906137111259107
"12","AVE","SALV",0.00316736091458321,-0.00126997547123417,0.003847281271533,-0.00225328560740514,453.3588392,423.2132084,0.108,0.00791211006400242
"13","AVE","SES",-0.00345514456493286,-0.00394928615181964,-0.00314686321462431,-0.00210222226089392,36.73691232,38.32325525,0.124,0.0108565998827406
"14","AVE","SIL",-0.0064223555048589,-0.00821862145611247,-0.00842304105056952,-0.00259440272294198,417.9201876,383.2319299,0.14,0.00863390623739208
"15","AVE","SIN",0.00524562253355483,-0.00206022448982666,0.00193645197223675,0.00104666251846566,117.9564016,102.6517798,0.131,0.00592489764714166
"16","AVE","VP",-0.00501866761792819,-0.0068272510466202,-0.00770448314804568,-0.00195510473712409,375.4308387,337.9824234,0.134,0.0121047730861099
"17","BER","BER",-0.0190673245324826,-0.0137857894015644,-0.0294626397088336,-0.00299560856315127,0,0,0,0
"18","BER","CIESN",-0.00490627971908044,-0.00487135140512071,-0.0122089778130943,-0.00119927488010602,345.2879877,318.9409033,0.126,0.0114393793807968
"19","BER","CIESS",-0.00575775806966414,-0.00253328126794587,-0.00896091798742347,-0.000707180546614907,341.7266518,314.1086847,0.133,0.00782068854309441
"20","BER","COR",-0.0107851370071933,-0.0067713707669778,-0.0123531480918483,-0.000920366777158693,373.449284,354.1450352,0.132,0.00710005539050305
"21","BER","COUSO",-0.0130063060330267,-0.0108612301670137,-0.0185961876683312,-0.0023465476196346,352.4106857,327.0972365,0.141,0.00981540574383003
"22","BER","ERI",-0.0103592358985751,-0.00639424682823329,-0.0149056498531952,-0.00162003477749889,50.5487865,47.44323903,0.121,0.0117668484474438
"23","BER","ESPO",-0.0105791975703109,-0.00530800208326557,-0.0133008290667829,-0.00312919731909854,274.3198626,248.320406,0.135,0.00602609631693846
"24","BER","FIG",-0.00695436918532762,-0.00295502579637701,-0.0070287977834566,-0.000554231416277526,117.3794526,100.1133393,0.13,0.00684655658477648
"25","BER","GROVE",-0.0115175170724467,-0.0107101336661751,-0.0190027665452235,-0.00190582588937778,370.2175858,343.2347581,0.136,0.00846098768669134
"26","BER","ONS",-0.00915648859059754,-0.00569143607273111,-0.0139607712522348,-0.002311189165784,363.0947991,335.5082713,0.129,0.00994798767863455
"27","BER","SALV",-0.00431263183274683,-0.00536217660735011,-0.00616685765588981,-0.00270447128070655,366.4813486,344.1535596,0.131,0.00701892188554223
"28","BER","SES",-0.00762273708210187,-0.00500764351366472,-0.0102248937281025,-0.0033452600884244,123.6144029,116.8770911,0.145,0.00670465298890612
"29","BER","SIL",-0.0124710498397068,-0.0107165178255394,-0.0178633919078492,-0.002551103640279,331.0426971,305.0685988,0.165,0.0210645619122497
"30","BER","SIN",-0.00697562415350415,-0.00783396303587569,-0.0125809175285733,-0.000609203563901787,204.8338922,181.8308594,0.165,0.00971344332478443
"31","BER","VP",-0.00806417404165931,-0.00596914178408464,-0.0139900134425679,-0.00195374015527659,288.5533481,260.6931177,0.139,0.0080441926574061
"32","CIESN","CIESN",-0.00096150811479667,-0.000422347096982553,-0.00379169191979429,0.000165463800357237,0,0,0,0
"33","CIESN","CIESS",0.00210665852896368,-0.000158946790812064,0.0023078511202458,-0.002254744915801,3.584041834,4.985325679,0.11,0.00958092295887977
"34","CIESN","COR",-0.00470610579394264,-0.00509558833359266,-0.00401278485522635,-0.00360363235994806,43.25984251,40.74240222,0.117,0.0151459779916352
"35","CIESN","COUSO",-0.00360762907130335,-0.00496258746592677,-0.0055881618636911,-0.00192023053617158,7.168144374,8.204216037,0.106,0.0104684531748919
"36","CIESN","ERI",-0.00860353027280041,-0.00685893582388551,-0.00938197898070844,-0.00228866937672974,388.099881,364.1927459,0.12,0.00515645260184748
"37","CIESN","ESPO",-0.00386651269474758,-0.00371429171278899,-0.00335355384311849,-0.00293881951847274,79.01390842,74.37343618,0.115,0.0053484537740781
"38","CIESN","FIG",0.00224711632630593,0.00221737042727168,0.00539694836733546,-0.00061288017066056,229.338007,229.3738326,0.106,0.00610706991438029
"39","CIESN","GROVE",-0.00614749813437924,-0.00753724680336268,-0.0102292262446519,-0.00304361625423768,25.08885954,25.35949674,0.118,0.00956053829767902
"40","CIESN","ONS",0.000595063889394527,0.00145277502284463,-0.000834652765693995,-0.000487014568981521,17.92051274,17.16978769,0.095,0.00520697211555859
"41","CIESN","SALV",0.00276806384965753,-0.00149659215880446,0.00374877627167426,-0.00156340698753133,28.80515423,28.56974773,0.111,0.00799338756337758
"42","CIESN","SES",-0.000380272551320262,2.34075017982837e-06,0.000350945257726762,-0.00204166653549055,468.9023906,425.9222146,0.121,0.0108872557443668
"43","CIESN","SIL",-0.00177601150033521,-0.00574377352584676,-0.00356898632226685,-0.00277591855069781,14.33604595,14.08824128,0.126,0.0128736237579637
"44","CIESN","SIN",-0.000312747924583398,-0.00478086437416087,-0.003162397894693,-0.00133023557417231,550.1218798,485.6028286,0.148,0.0109587933195843
"45","CIESN","VP",-0.00383186700983834,-0.00644235905231055,-0.00608783974497897,-0.00326775791415047,64.67923659,60.23429133,0.129,0.00810516553086818
"46","CIESS","CIESS",0.00459236237389417,0.00374657663913493,0.00787767664507227,-0.00075059640847728,0,0,0,0
"47","CIESS","COR",-0.000582386363353007,-0.00159262604596782,0.00353992621007413,-0.00284478559913828,46.84388434,45.51244533,0.116,0.00828812841557603
"48","CIESS","COUSO",0.00163495535488059,-0.00120788252725905,0.00225231278159867,-0.00189650902919734,10.75218621,12.99362959,0.107,0.0059147788999316
"49","CIESS","ERI",-0.00446198471668561,0.000937993655445002,-0.00241753688882466,-0.00082315309560226,384.5357119,359.3129378,0.119,0.00988679169065148
"50","CIESS","ESPO",0.00373176578995836,0.0028039428730509,0.00703144271210009,-0.00151778237618765,75.42986659,69.39113474,0.103,0.00939749063783827
"51","CIESS","FIG",0.00487897915299581,0.00565395798731205,0.0108152028169547,-6.69886431074794e-05,225.7539651,224.4051934,0.11,0.00610706991438029
"52","CIESS","GROVE",-0.00582746656229791,-0.00507611169415533,-0.00731085866063741,-0.0043840362265011,28.67290137,30.33839217,0.139,0.00802387000524172
"53","CIESS","ONS",0.00126241356058206,0.00163637185774159,0.00315620132311642,-0.00142620688618039,21.50455457,22.15379696,0.106,0.00838980316231042
"54","CIESS","SALV",0.0081920821919041,0.00514965316210674,0.011920270035549,-0.00142584783982209,32.38919606,33.40796117,0.109,0.00533834662055515
"55","CIESS","SES",0.00171038989956306,0.000772971915903718,0.00505214589024118,-0.00262530001791925,465.3410548,420.9723757,0.128,0.0122584498274099
"56","CIESS","SIL",0.00105756453817269,-0.00151428304172367,0.0021478346561738,-0.00164436348715798,10.75200412,9.124654661,0.133,0.00795274717521243
"57","CIESS","SIN",0.00683130380875746,0.0009265274234379,0.0065559876824316,-0.000513733867100521,546.560544,480.6270005,0.139,0.0138800174387363
"58","CIESS","VP",0.00104263718628927,-0.000577473178324841,0.0016813116607251,-0.00268337902683089,61.09519476,55.24951813,0.127,0.00706962879413483
"59","COR","COR",-0.0018267753084491,-0.00142607105505896,0.00350567921906111,-0.000373057604204777,0,0,0,0
"60","COR","COUSO",-0.00377198655653275,-0.00467355205934006,-0.00213014996971941,-0.00137206304924716,36.09169814,34.67753664,0.104,0.0059552551102527
"61","COR","ERI",-0.00895945730604428,-0.00444198449027582,-0.00584376194795892,-0.00329512310470878,416.2952876,400.1178266,0.115,0.00776990597506777
"62","COR","ESPO",0.00175161780354114,0.000182774618694944,0.00639721368510586,-0.00187158925651711,122.2737509,114.096358,0.088,0.00547986526569805
"63","COR","FIG",-0.000630156962057114,0.00092504164627204,0.00640519887752745,-0.00338521652477216,272.5978495,267.4629412,0.111,0.00924468128052965
"64","COR","GROVE",-0.000237382060020356,-0.00335945932484847,-0.000853208047030488,-0.000785809167297985,18.17098297,17.44513275,0.092,0.00398582372016907
"65","COR","ONS",-0.00258276084400948,-0.00247839548849765,0.000171569304660356,-0.00162486800427479,25.33932977,24.74980405,0.1,0.00517665979795949
"66","COR","SALV",0.00353797323582997,0.00016645857243146,0.00799912093004993,-0.0019617092471534,14.46039884,12.28452595,0.104,0.00839997176480079
"67","COR","SES",0.00126791371177876,0.00198714740353632,0.00554752292353143,-0.000277325583726025,497.0636869,463.2520623,0.112,0.00472219431327238
"68","COR","SIL",-0.00297458516574221,-0.0053048491123717,-0.000800983777817576,-0.00193908592289064,57.59588846,54.04941585,0.127,0.0109383529792353
"69","COR","SIN",0.00249911275997783,-0.0014615015604819,0.00322206229797999,-0.00195658833786749,578.2831761,523.7446531,0.133,0.0181536801164768
"70","COR","VP",-0.00249122237117736,-0.00348301115739878,-0.00105661806242876,-0.00119530226912485,107.9390791,99.68445021,0.117,0.00811532839356822
"71","COUSO","COUSO",-0.00414164888686274,-0.00625816452400253,-0.00588334821882793,-5.65981918081555e-05,0,0,0,0
"72","COUSO","ERI",-0.00937228866119846,-0.00572505099900543,-0.00949671409400818,-0.00244276662233825,395.2282498,372.3052735,0.112,0.00401606425702811
"73","COUSO","ESPO",0.000425544928171355,-0.00242367881808815,0.00121086412640124,-0.00207918376853448,86.1820528,82.0218656,0.09,0.00380441874705132
"74","COUSO","FIG",-0.000388443644120571,-0.00143633077184213,0.00347433887030223,-0.00161351737076271,236.5061513,237.28008,0.103,0.00475247922674249
"75","COUSO","GROVE",-0.00435790885543248,-0.0065498847105449,-0.00806354887948706,-0.00237261149058296,17.92071516,18.13982413,0.101,0.00661345036892383
"76","COUSO","ONS",-0.00193093416917043,-0.00208453199809471,-0.00241888445283627,-0.0017188239596372,10.75236836,10.03499857,0.09,0.00260677762181672
"77","COUSO","SALV",-5.28628570311149e-05,-0.00290201693457027,0.00138012899579751,-0.00306776283452772,21.63700985,22.40410817,0.113,0.00402614484081165
"78","COUSO","SES",-0.00102056942047308,-0.00116771048851032,-0.000166967373234438,-0.00214329809120515,476.0250886,433.9007433,0.111,0.00674519279170442
"79","COUSO","SIL",-0.0015916865909316,-0.00582569496455005,-0.0030409794071129,-0.00231036987121047,21.50419033,22.08832565,0.119,0.00901046343850586
"80","COUSO","SIN",-0.00153016211264825,-0.00827742598240337,-0.00421123100673656,-0.00176053811342598,557.2445778,493.4593354,0.15,0.0102030508132135
"81","COUSO","VP",-0.00206668167571955,-0.00462489153012228,-0.00414749617795523,-0.00413425787068264,71.84738097,68.01962284,0.116,0.00685669408673064
"82","ERI","ERI",-0.00892082893268988,0.000372977790303848,-0.00741391324163563,0.00202634521061087,0,0,0,0
"83","ERI","ESPO",-0.00230365253483691,0.0031079792547158,0.00032463930591717,-0.000268210963135514,317.0697597,292.4490534,0.104,0.0047928619515087
"84","ERI","FIG",-0.00487087350816132,-0.000841597918289739,0.000383464572578399,-0.00290456149884859,160.012996,139.4743166,0.112,0.00955034627576877
"85","ERI","GROVE",-0.00783369140596756,-0.00558445952399154,-0.00989779576348331,-0.0017615236710291,413.0493519,388.7528723,0.108,0.00724207048680009
"86","ERI","ONS",-0.00746238109050384,-0.00347429115105358,-0.00658817137953022,-0.0035144335228682,405.9208801,380.9274392,0.104,0.0080441926574061
"87","ERI","SALV",-0.00291235491336315,-0.00170952576603176,0.000305694331864102,-0.00350259711194357,409.3159594,389.8977167,0.119,0.0116747263419865
