"","Site1","Site2","estimator","relatedness","distance_metric","distance"
"1","AVE","AVE","rxy",0.00246491446421211,"SPDistance",0
"2","AVE","BER","rxy",-0.0130785843405219,"SPDistance",86.87749059
"3","AVE","CIESN","rxy",-0.00716124290615652,"SPDistance",432.1654782
"4","AVE","CIESS","rxy",-0.00270097211745625,"SPDistance",428.6041424
"5","AVE","COR","rxy",-0.00421956326111518,"SPDistance",460.3267746
"6","AVE","COUSO","rxy",-0.00434670632708317,"SPDistance",439.2881763
"7","AVE","ERI","rxy",-0.00990861460810114,"SPDistance",44.3253858
"8","AVE","ESPO","rxy",0.000943083900153917,"SPDistance",361.1973532
"9","AVE","FIG","rxy",-0.00251989622659688,"SPDistance",204.2569431
"10","AVE","GROVE","rxy",-0.00546609152049218,"SPDistance",457.0950764
"11","AVE","ONS","rxy",-0.00478393509652873,"SPDistance",449.9722897
"12","AVE","SALV","rxy",0.00316736091458321,"SPDistance",453.3588392
"13","AVE","SES","rxy",-0.00345514456493286,"SPDistance",36.73691232
"14","AVE","SIL","rxy",-0.0064223555048589,"SPDistance",417.9201876
"15","AVE","SIN","rxy",0.00524562253355483,"SPDistance",117.9564016
"16","AVE","VP","rxy",-0.00501866761792819,"SPDistance",375.4308387
"17","BER","BER","rxy",-0.0190673245324826,"SPDistance",0
"18","BER","CIESN","rxy",-0.00490627971908044,"SPDistance",345.2879877
"19","BER","CIESS","rxy",-0.00575775806966414,"SPDistance",341.7266518
"20","BER","COR","rxy",-0.0107851370071933,"SPDistance",373.449284
"21","BER","COUSO","rxy",-0.0130063060330267,"SPDistance",352.4106857
"22","BER","ERI","rxy",-0.0103592358985751,"SPDistance",50.5487865
"23","BER","ESPO","rxy",-0.0105791975703109,"SPDistance",274.3198626
"24","BER","FIG","rxy",-0.00695436918532762,"SPDistance",117.3794526
"25","BER","GROVE","rxy",-0.0115175170724467,"SPDistance",370.2175858
"26","BER","ONS","rxy",-0.00915648859059754,"SPDistance",363.0947991
"27","BER","SALV","rxy",-0.00431263183274683,"SPDistance",366.4813486
"28","BER","SES","rxy",-0.00762273708210187,"SPDistance",123.6144029
"29","BER","SIL","rxy",-0.0124710498397068,"SPDistance",331.0426971
"30","BER","SIN","rxy",-0.00697562415350415,"SPDistance",204.8338922
"31","BER","VP","rxy",-0.00806417404165931,"SPDistance",288.5533481
"32","CIESN","CIESN","rxy",-0.00096150811479667,"SPDistance",0
"33","CIESN","CIESS","rxy",0.00210665852896368,"SPDistance",3.584041834
"34","CIESN","COR","rxy",-0.00470610579394264,"SPDistance",43.25984251
"35","CIESN","COUSO","rxy",-0.00360762907130335,"SPDistance",7.168144374
"36","CIESN","ERI","rxy",-0.00860353027280041,"SPDistance",388.099881
"37","CIESN","ESPO","rxy",-0.00386651269474758,"SPDistance",79.01390842
"38","CIESN","FIG","rxy",0.00224711632630593,"SPDistance",229.338007
"39","CIESN","GROVE","rxy",-0.00614749813437924,"SPDistance",25.08885954
"40","CIESN","ONS","rxy",0.000595063889394527,"SPDistance",17.92051274
"41","CIESN","SALV","rxy",0.00276806384965753,"SPDistance",28.80515423
"42","CIESN","SES","rxy",-0.000380272551320262,"SPDistance",468.9023906
"43","CIESN","SIL","rxy",-0.00177601150033521,"SPDistance",14.33604595
"44","CIESN","SIN","rxy",-0.000312747924583398,"SPDistance",550.1218798
"45","CIESN","VP","rxy",-0.00383186700983834,"SPDistance",64.67923659
"46","CIESS","CIESS","rxy",0.00459236237389417,"SPDistance",0
"47","CIESS","COR","rxy",-0.000582386363353007,"SPDistance",46.84388434
"48","CIESS","COUSO","rxy",0.00163495535488059,"SPDistance",10.75218621
"49","CIESS","ERI","rxy",-0.00446198471668561,"SPDistance",384.5357119
"50","CIESS","ESPO","rxy",0.00373176578995836,"SPDistance",75.42986659
"51","CIESS","FIG","rxy",0.00487897915299581,"SPDistance",225.7539651
"52","CIESS","GROVE","rxy",-0.00582746656229791,"SPDistance",28.67290137
"53","CIESS","ONS","rxy",0.00126241356058206,"SPDistance",21.50455457
"54","CIESS","SALV","rxy",0.0081920821919041,"SPDistance",32.38919606
"55","CIESS","SES","rxy",0.00171038989956306,"SPDistance",465.3410548
"56","CIESS","SIL","rxy",0.00105756453817269,"SPDistance",10.75200412
