"","Site1","Site2","SPDistance","scale","estimator","relatedness"
"1","AVE","AVE",0,"broad","rxy",0.00246491446421211
"2","AVE","BER",86.87749059,"broad","rxy",-0.0130785843405219
"3","AVE","CIESN",432.1654782,"broad","rxy",-0.00716124290615652
"4","AVE","CIESS",428.6041424,"broad","rxy",-0.00270097211745625
"5","AVE","COR",460.3267746,"broad","rxy",-0.00421956326111518
"6","AVE","COUSO",439.2881763,"broad","rxy",-0.00434670632708317
"7","AVE","ERI",44.3253858,"broad","rxy",-0.00990861460810114
"8","AVE","ESPO",361.1973532,"broad","rxy",0.000943083900153917
"9","AVE","FIG",204.2569431,"broad","rxy",-0.00251989622659688
"10","AVE","GROVE",457.0950764,"broad","rxy",-0.00546609152049218
"11","AVE","ONS",449.9722897,"broad","rxy",-0.00478393509652873
"12","AVE","SALV",453.3588392,"broad","rxy",0.00316736091458321
"13","AVE","SES",36.73691232,"broad","rxy",-0.00345514456493286
"14","AVE","SIL",417.9201876,"broad","rxy",-0.0064223555048589
"15","AVE","SIN",117.9564016,"broad","rxy",0.00524562253355483
"16","AVE","VP",375.4308387,"broad","rxy",-0.00501866761792819
"17","BER","BER",0,"broad","rxy",-0.0190673245324826
"18","BER","CIESN",345.2879877,"broad","rxy",-0.00490627971908044
"19","BER","CIESS",341.7266518,"broad","rxy",-0.00575775806966414
"20","BER","COR",373.449284,"broad","rxy",-0.0107851370071933
"21","BER","COUSO",352.4106857,"broad","rxy",-0.0130063060330267
"22","BER","ERI",50.5487865,"broad","rxy",-0.0103592358985751
"23","BER","ESPO",274.3198626,"broad","rxy",-0.0105791975703109
"24","BER","FIG",117.3794526,"broad","rxy",-0.00695436918532762
"25","BER","GROVE",370.2175858,"broad","rxy",-0.0115175170724467
"26","BER","ONS",363.0947991,"broad","rxy",-0.00915648859059754
"27","BER","SALV",366.4813486,"broad","rxy",-0.00431263183274683
"28","BER","SES",123.6144029,"broad","rxy",-0.00762273708210187
"29","BER","SIL",331.0426971,"broad","rxy",-0.0124710498397068
"30","BER","SIN",204.8338922,"broad","rxy",-0.00697562415350415
"31","BER","VP",288.5533481,"broad","rxy",-0.00806417404165931
"32","CIESN","CIESN",0,"broad","rxy",-0.00096150811479667
"33","CIESN","CIESS",3.584041834,"broad","rxy",0.00210665852896368
"34","CIESN","COR",43.25984251,"broad","rxy",-0.00470610579394264
"35","CIESN","COUSO",7.168144374,"broad","rxy",-0.00360762907130335
"36","CIESN","ERI",388.099881,"broad","rxy",-0.00860353027280041
"37","CIESN","ESPO",79.01390842,"broad","rxy",-0.00386651269474758
"38","CIESN","FIG",229.338007,"broad","rxy",0.00224711632630593
"39","CIESN","GROVE",25.08885954,"broad","rxy",-0.00614749813437924
"40","CIESN","ONS",17.92051274,"broad","rxy",0.000595063889394527
"41","CIESN","SALV",28.80515423,"broad","rxy",0.00276806384965753
"42","CIESN","SES",468.9023906,"broad","rxy",-0.000380272551320262
"43","CIESN","SIL",14.33604595,"broad","rxy",-0.00177601150033521
"44","CIESN","SIN",550.1218798,"broad","rxy",-0.000312747924583398
"45","CIESN","VP",64.67923659,"broad","rxy",-0.00383186700983834
"46","CIESS","CIESS",0,"broad","rxy",0.00459236237389417
"47","CIESS","COR",46.84388434,"broad","rxy",-0.000582386363353007
"48","CIESS","COUSO",10.75218621,"broad","rxy",0.00163495535488059
"49","CIESS","ERI",384.5357119,"broad","rxy",-0.00446198471668561
"50","CIESS","ESPO",75.42986659,"broad","rxy",0.00373176578995836
"51","CIESS","FIG",225.7539651,"broad","rxy",0.00487897915299581
"52","CIESS","GROVE",28.67290137,"broad","rxy",-0.00582746656229791
"53","CIESS","ONS",21.50455457,"broad","rxy",0.00126241356058206
"54","CIESS","SALV",32.38919606,"broad","rxy",0.0081920821919041
"55","CIESS","SES",465.3410548,"broad","rxy",0.00171038989956306
"56","CIESS","SIL",10.75200412,"broad","rxy",0.00105756453817269
"57","CIESS","SIN",546.560544,"broad","rxy",0.00683130380875746
