"","SPDistance","n","rxy","logl_ratio","Site1","Site2","GDistance","llcol"
"1",10.75200412,1,0.251046479877386,2.22380566387407,"CIESS","SIL",9.124654661,2
"2",10.75218621,1,0.264098789091938,1.77517596292994,"CIESS","COUSO",12.99362959,1
"3",117.3794526,1,0.307603449615579,5.93317969061755,"BER","FIG",100.1133393,5
"4",117.9564016,1,0.282154975017909,3.06926649731676,"AVE","SIN",102.6517798,3
"5",14.33467183,1,0.294822986559541,4.65087075628319,"ESPO","VP",14.49805545,4
"6",14.46039884,2,0.251832803592398,4.57914746977807,"COR","SALV",12.28452595,4
"7",17.92051274,2,0.294212164114366,7.36807885195371,"CIESN","ONS",17.16978769,6
"8",204.2569431,1,0.260150660463016,1.75215593038685,"AVE","FIG",170.5312735,1
"9",21.50455457,1,0.278268651135474,3.97955811126064,"CIESS","ONS",22.15379696,3
"10",225.7539651,1,0.252612342981577,1.25262604780153,"CIESS","FIG",224.4051934,1
"11",28.80515423,1,0.28137300973976,4.55573227389059,"CIESN","SALV",28.56974773,4
"12",32.38919606,1,0.255358914717739,2.76880973753191,"CIESS","SALV",33.40796117,2
"13",384.5357119,1,0.259595675423499,1.22844298404475,"CIESS","ERI",359.3129378,1
"14",395.2282498,1,0.279500649769918,3.51209408530773,"COUSO","ERI",372.3052735,3
"15",413.0493519,1,0.28082027037805,1.16261404036006,"ERI","GROVE",388.7528723,1
"16",428.6041424,1,0.264554688868759,2.00678279227196,"AVE","CIESS",392.3358381,2
"17",468.9023906,1,0.261004315233231,1.49757419330367,"CIESN","SES",425.9222146,1
"18",50.34319064,1,0.252068790369025,1.39257495855772,"SIL","VP",46.18009591,1
"19",64.67786247,1,0.290004902024878,6.51687030597142,"ESPO","SIL",60.38783048,6
"20",7.168144374,1,0.250829519810109,5.23912423276212,"CIESN","COUSO",8.204216037,5
"21",86.1820528,1,0.285355060061244,5.23623800686882,"COUSO","ESPO",82.0218656,5
"22",0,1,0.27816205602966,2.25151130774952,"ESPO","ESPO",0,2
"23",0,1,0.292468636990461,1.48297653746826,"SES","SES",0,1
